Submitter,Maximum review status,Total submissions,Submissions with interpretations,Total Genes,Last updated,submitters_id,country_name,alpha_3
Harbour Laboratory; University of Miami Miller School of Medicine,Assertion criteria,2,2,2,"May 24, 2019",507022,United States,USA
Division of Genomics; Kyushu University,-,2,2,2,"Jul 22, 2020",506199,Japan,JPN
Laboratory of Drosophila Research; The Chinese University of Hong Kong,Assertion criteria,2,2,2,"Aug 03, 2016",505221,Hong Kong,HKG
National Reference Laboratory of Biochemistry; Pasteur Institute of Iran,Assertion criteria,2,2,2,"Jun 22, 2017",506128,"Iran, Islamic Republic of",IRN
Human Cancer Genomic Research; King Faisal Specialist Hospital and Research Center,Assertion criteria,2,2,2,"Feb 07, 2019",506878,Saudi Arabia,SAU
Medical Genetics; Meyer Children Hospital,-,2,2,3,"Dec 30, 2016",505894,Italy,ITA
"Reichenberger Lab, Center for Regenerative Medicine and Skeletal Development; UConn Health Center",-,2,2,2,"Jun 22, 2017",506178,United States,USA
Clinical Genetics Laboratory; Region Ostergotland,Assertion criteria,2,2,3,"Jun 18, 2020",506101,Sweden,SWE
Kopetz Lab; MD Anderson Cancer Center,-,2,2,2,"Sep 21, 2017",506122,United States,USA
Laboratory of Medical Genetics Unit; Bambino Gesù Children's Hospital,Assertion criteria,2,2,2,"Aug 11, 2020",506277,Italy,ITA
Laboratoire de cytogenetique; Hopital Necker-Enfants Malades,-,2,2,2,"Aug 11, 2017",506301,France,FRA
Genetics of Mitochondrial Diseases; Imagine Institute,-,2,2,2,"Sep 06, 2018",506254,France,FRA
"Clinical laboratory, Wuhan Children’s Hospital; Tongji Medical College, Huazhong University of Science and Technology",-,2,2,2,"Oct 06, 2017",506356,China,CHN
"Department of Pediatrics, Union Hospital; Tongji Medical College, Huazhong University of Science and Technology",-,2,2,1,"Nov 01, 2018",506768,China,CHN
"Neuromuscular Group; Huashan Hospital, Fudan University",Assertion criteria,2,2,1,"Jun 28, 2018",506637,China,CHN
Translational Omics Lab  at Great Ormond Street Institute of Child Health; University College London,Assertion criteria,2,2,1,"Mar 30, 2020",507387,United Kingdom,GBR
Molecular Diagnostics Laboratory; Nadiya Clinic of Reproductive Medicine,Assertion criteria,2,2,2,"Apr 25, 2018",506442,Ukraine,UKR
Clinical Genetics; University of Leipzig,Assertion criteria,2,2,1,"Mar 21, 2019",506924,Germany,DEU
Department of Endocrinology; Sir Run Run Shaw Hospital,Assertion criteria,2,2,1,"Dec 09, 2017",506423,China,CHN
Genomic Medicine Laboratory; University of Vermont Medical Center,-,2,2,55,"Dec 03, 2018",506454,United States,USA
Tianjin Pediatric Research Institute; Tianjin Children's Hospital,Assertion criteria,2,2,2,"Jun 05, 2019",506352,China,CHN
Institutes of Biomedical Sciences; Shanxi University,-,2,2,2,"Mar 25, 2020",506361,China,CHN
Mitochondrial Research Group; Murdoch Children's Research Institute,Assertion criteria,2,2,2,"Feb 21, 2019",506250,Australia,AUS
Center for Medical Genetics; Keio University School of Medicine,-,2,2,2,"Aug 03, 2017",506260,Japan,JPN
Department of Laboratory Medicine; Yonsei University College of Medicine,Assertion criteria,2,2,1,"Jul 14, 2020",507610,United States,USA
Endocrinology Department; First Hospital Of Shanxi Medical University,Assertion criteria,2,2,1,"Nov 06, 2019",506477,China,CHN
Laboratory of Immunology and Cellular Biotechnologies; Immanuel Kant Baltic Federal University,Assertion criteria,2,2,2,"Apr 04, 2018",506500,Russian Federation,RUS
Leeds Institute of Biomedical and Clinical Sciences; University of Leeds,Assertion criteria,2,2,2,"Feb 12, 2017",506074,United Kingdom,GBR
"Institute of Experimental Medicine, Department of Genetics; Istanbul University",Assertion criteria,2,2,2,"Aug 11, 2015",505480,Turkey,TUR
Laboratory of Medical Genetics; Tor Vergata University,Assertion criteria,2,2,2,"Jul 09, 2020",507373,Italy,ITA
Center for Medical Genetics; GenVams Trust,Assertion criteria,2,2,2,"Apr 16, 2019",506800,India,IND
Institute of Human Genetics; Heidelberg University,-,2,2,1,"Dec 19, 2018",506821,Germany,DEU
Molecular Genetics Laboratory Heidelberg; Heidelberg University,-,2,2,42,"Jul 29, 2020",507621,Germany,DEU
Laboratory of Molecular Genetics; Shanghai Jiao Tong University School of Medicine and Shanghai Institutes for Biological Sciences,Assertion criteria,2,2,1,"Jul 24, 2018",506657,China,CHN
Department of Pediatrics; Hirosaki University Graduate School of Medicine,-,2,2,1,"Jul 27, 2018",506659,Japan,JPN
Gregorio Maranon General University Hospital; Gregorio Maranon Health Research Institute,Assertion criteria,2,2,1,"Jan 17, 2019",506797,Spain,ESP
Medical Genetics Unit; University of L'Aquila,-,2,2,2,"Aug 21, 2018",506681,Italy,ITA
Hunan Clinical Research Center of Ophthalmic Disease; The Second Xiangya Hospital,Assertion criteria,2,2,2,"Dec 04, 2019",506345,China,CHN
"Molecular Biology of Hearing and Deafness Laboratory; Ear Institute, Shanghai Jiaotong University School of Medicine",-,2,1,2,"Sep 07, 2017",504881,China,CHN
Hemoglobin and Genome Lab; University of Campinas,Assertion criteria,2,2,1,"Jul 28, 2017",506285,Brazil,BRA
Department of Paediatric Medicine; Post Graduation Institute of Medical Education and Research,Assertion criteria,2,2,4,"May 30, 2020",506493,India,IND
State Key Laboratory Of Oral Diseases; Sichuan University,-,2,2,1,"Dec 22, 2018",506816,China,CHN
Seattle Children's Hospital Molecular Genetics Laboratory; Seattle Children's Hospital,Assertion criteria,2,2,2,"Jul 23, 2019",506512,United States,USA
Genetic Endocrinology Unit / Unidade de Endocrinologia Genetica - LIM25; Universidade de Sao Paulo (USP),Assertion criteria,2,2,2,"Feb 12, 2019",506435,Brazil,BRA
Institute for Biomedicine; Eurac Research,-,2,2,1,"May 17, 2020",506551,Italy,ITA
Australian Inherited Retinal Disease Registry & DNA Bank; Sir Charles Gairdner Hospital,Assertion criteria,2,2,2,"May 29, 2018",506614,Australia,AUS
Genotek; Genotek Ltd.,Assertion criteria,2,2,2,"May 22, 2019",506634,Russian Federation,RUS
Biomedical Innovation Departament; CIEMAT,Assertion criteria,2,2,1,"Aug 20, 2020",506581,Spain,ESP
International Hereditary Cancer Center PUM; Pomeranian Medical University,-,2,2,2,"Jan 24, 2020",506758,Poland,POL
Institute of Experimental Epileptology and Cognition Research; University of Bonn,-,2,2,2,"Aug 27, 2018",506691,Germany,DEU
"Ramesar Group, Division of Human Genetics, Institute of Infectious Diseases and Molecular Medicine,UCT/MRC Genomic and Precision Medicine Research Unit; University of Cape Town",Assertion criteria,2,2,2,"Aug 17, 2020",507244,South Africa,ZAF
"State Key Laboratory of Oncogenes and Related Genes, Shanghai Cancer Institute; Ren Ji Hospital, School of Medicine, Shanghai Jiao Tong University",-,2,2,1,"Oct 24, 2019",507268,China,CHN
"Nöthen Lab, Institute of Human Genetics; University Hospital Bonn",-,2,2,2,"Oct 13, 2017",506094,Germany,DEU
Research Centre for  Medical Genetics,Assertion criteria,2,2,2,"Jul 08, 2016",505651,Russian Federation,RUS
Institute for Pathophysiology; Universitaetsmedizin JGU Mainz,-,2,2,2,"May 07, 2020",507550,Germany,DEU
Noncommunicable Diseases Research Center; Fasa University of Medical Sciences,-,2,2,2,"Jan 25, 2018",506206,"Iran, Islamic Republic of",IRN
"Department of Pediatrics, Graduate School of Medical Sciences; Kyushu university",Assertion criteria,2,2,2,"Jul 31, 2020",507229,Japan,JPN
Genetics; INEBIR,Assertion criteria,2,2,2,"Jun 26, 2020",507322,Spain,ESP
MedGen Diagnostic Laboratory; MedGen Medical Centre,Assertion criteria,2,2,3,"Jul 14, 2020",507318,Poland,POL
Department of biochemistry and genetics; Arak University of Medical sciences,Assertion criteria,2,2,2,"Mar 27, 2020",507263,"Iran, Islamic Republic of",IRN
Cell and Molecular Biology Laboratory; University of the Punjab Lahore,-,2,2,1,"Mar 27, 2020",507500,Pakistan,PAK
Vinuesa Lab; Australian National University,-,2,2,1,"May 05, 2020",507572,Australia,AUS
Genetics and Prenatal Diagnosis Center; The First Affiliated Hospital of Zhengzhou University,Assertion criteria,2,2,1,"Jun 15, 2020",507584,China,CHN
Department of Medical Genetics; Ahvaz Jundishapur University of Medical Sciences,-,2,2,2,"Dec 01, 2019",506908,"Iran, Islamic Republic of",IRN
Medical Genetics Unit; Sapienza University of Rome,-,2,2,1,"Jul 24, 2020",507681,Italy,ITA
Biochemistry and Genetic Laboratory; APHP Bichat Claude Bernard Hospital,Assertion criteria,2,2,1,"Jan 29, 2019",506858,France,FRA
Department of Medical Genetics; Nizam's Institute of Medical Sciences,Assertion criteria,2,2,2,"Nov 25, 2019",507093,India,IND
Center for Biomedical Information; Shanghai Children’s Hospital,Assertion criteria,2,2,1,"Jun 10, 2019",507007,China,CHN
Department of Chemical Pathology; Prince of Wales Hospital,Assertion criteria,2,2,1,"Aug 21, 2019",507149,Hong Kong,HKG
Experimental and Health Sciences Department; Universitat Pompeu Fabra,-,2,2,2,"Jan 29, 2020",507427,Spain,ESP
"Laboratory of Human Molecular Genetics; Petersburg Nuclear Physics Institute named by B.P.Konstantinov of NRC ""Kurchatov Institute""",Assertion criteria,2,2,1,"Feb 11, 2020",507437,Russian Federation,RUS
Centro Nacional de Biotecnologia; Consejo Superior de Investigaciones Cientificas,-,2,2,1,"Aug 12, 2020",507333,Spain,ESP
Laboratorios de Investigación en Biología Molecular e Inmunología; Universidad Autónoma de Nayarit,Assertion criteria,2,2,1,"Oct 21, 2019",507194,Mexico,MEX
Aflac Cancer and Blood Disorders Center; Children's Healthcare of Atlanta,Assertion criteria,2,2,2,"May 05, 2020",507254,United States,USA
Unidad de Genómica Garrahan; Hospital de Pediatría Garrahan,Assertion criteria,2,2,3,"Jun 12, 2020",507274,Argentina,ARG
"Clinical Molecular and Personalized Diagnostics; Institute of Biochemistry and Clinical Biochemistry, Teaching and Research Hospital Agostino Gemelli Foundation",Assertion criteria,2,2,2,"Jun 22, 2017",506015,Italy,ITA
Rappaport Faculty of Medicine; Technion-Israel Institute of Technology,-,2,2,2,"Apr 20, 2017",506012,Israel,ISR
Pediatric Highly Intensive Care Unit; Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,Assertion criteria,2,2,38,"Oct 02, 2015",505988,Italy,ITA
Department of Endocrinology; The Affiliated hospital of QingDao University,-,2,2,1,"Nov 04, 2015",505807,China,CHN
"Research Laboratory of Human Genome and Multifactorial Diseases; Faculty of Pharmacy, University of Monastir",-,2,2,2,"Apr 24, 2020",507525,Tunisia,TUN
Molecular Medicine; University of Pavia,Assertion criteria,2,2,2,"Mar 05, 2020",507426,Italy,ITA
University of Arizona Genetics Core; University of Arizona,-,2,2,2,"Dec 24, 2014",505876,United States,USA
Department of Metabolic Diseases; Wilhelmina Children's Hospital,Assertion criteria,2,2,1,"Oct 03, 2016",505940,Netherlands,NLD
"Korbonits Lab; Institute of Cancer Research, London",Assertion criteria,2,2,1,"Aug 19, 2016",505912,United Kingdom,GBR
SavaGenome Genetic Health Clinic,Assertion criteria,2,2,3,"Sep 15, 2020",507138,"Iran, Islamic Republic of",IRN
emedgene Technologies,-,2,2,2,"Oct 11, 2016",505741,Israel,ISR
Eone-Diagnomics Genome Center,-,2,2,1,"Mar 10, 2017",506111,"Korea, Republic of",KOR
Mitochondrial Research; Murdoch Childrens Research Institute,-,2,2,2,"Dec 09, 2013",500193,Australia,AUS
Miller Lab; National Institutes of Health,-,2,0,5,"Aug 07, 2014",500274,United States,USA
Lilac Insights Pvt. Ltd.,Assertion criteria,2,2,1,"Nov 17, 2017",506405,India,IND
Bondeson Group; Uppsala University,Assertion criteria,2,2,2,"Jan 08, 2019",506588,Sweden,SWE
CVG; University of British Columbia,-,2,2,1,"Nov 12, 2014",500125,Canada,CAN
Stewart Lab; University of Birmingham,-,2,2,1,"Aug 13, 2018",506684,United Kingdom,GBR
"Department of Neurology; The University of Tokyo, Graduate School of Medicine",-,2,2,1,"Sep 08, 2013",500143,Japan,JPN
Bodamer Research Lab; Boston Children's Hospital,-,2,2,4,"Oct 03, 2017",506342,United States,USA
Robert's Program; Boston Children's Hospital,Assertion criteria,2,2,2,"Feb 01, 2020",507406,United States,USA
Genetics and Genomics; Alberta Children's Hospital,Assertion criteria,2,2,14,"May 04, 2020",506642,Canada,CAN
Mitochondrial Disorders Lab i+12; Hospital Universitario 12 de Octubre,Assertion criteria,2,2,3,"Jun 24, 2020",507020,Spain,ESP
"Wang Lab, Institute of Neuroscience; Xiamen university",-,2,2,1,"Oct 24, 2019",507224,China,CHN
Clinical Genetics; Amsterdam Medical Centre,-,2,2,2,"Feb 20, 2019",506871,Netherlands,NLD
Department of Oral Pathology; Peking University School and Hospital of Stomatology,-,2,2,1,"May 17, 2016",505797,China,CHN
Laboratório de Genética Molecular; University of Campinas - Unicamp,-,2,0,1,"Jul 25, 2014",505210,Brazil,BRA
Human Genetics and Genome Research Division; National Research Centre,Assertion criteria,2,2,2,"Oct 18, 2016",505774,Egypt,EGY
Institute of Bioinformatics,Assertion criteria,2,2,4,"Jul 23, 2020",506863,India,IND
Department of Medical Genetics; University of Szeged,Assertion criteria,2,2,2,"Aug 26, 2019",505686,Hungary,HUN
Clinics for Rare Diseases Referral (Hong Kong); The University of Hong Kong,-,2,2,2,"Oct 31, 2016",505839,Hong Kong,HKG
Institute for Medical Immunology; Charité - Universitätsmedizin Berlin,-,2,2,3,"Feb 24, 2020",507467,Germany,DEU
"Institute of Otorhinolaryngology, the First affiliated hospital; Sun Yat-sen University",-,2,2,2,"Apr 10, 2014",504811,China,CHN
Radiation Cancer Biology Lab; UNIVERSITY OF RAJASTHAN JAIPUR,-,2,0,1,"Sep 26, 2014",505235,India,IND
Laboratório de Genética Humana e Médica; Universidade Federal do Pará,-,2,1,1,"Oct 06, 2014",505248,Brazil,BRA
Center for Studies on Hereditary Cancer; University of Bologna,-,2,2,1,"Feb 13, 2019",506881,Italy,ITA
Dr Meenakshi Bhat Group; Centre for Human Genetics,Assertion criteria,2,2,2,"Jan 07, 2019",506312,India,IND
Pediatric Nephrology (Iijima Lab); Kobe University Graduate School of Medicine,-,2,2,2,"Jul 28, 2017",506266,Japan,JPN
Clinical genetics; CHU Grenoble-Alpes,-,2,2,1,"Sep 18, 2017",506333,France,FRA
Immunopatologia e Biomarcatori Oncologici/Bio-proteomics facility; Centro di Riferimento Oncologico,Assertion criteria,2,2,1,"Mar 05, 2020",506110,Italy,ITA
Molecular Medicine Research Center; University of Cyprus,-,2,2,2,"Jun 30, 2017",506193,Cyprus,CYP
Division of Genetic Medicine; Lausanne University Hospital,Assertion criteria,2,2,2,"Nov 08, 2019",506643,Switzerland,CHE
Clinical Genomics Unit; Sheba Medical Center,-,2,2,3,"Sep 03, 2020",507082,Israel,ISR
Medical Genetics Clinic; Mersin Women and Children Hospital,Assertion criteria,2,2,2,"Jan 08, 2019",506428,Turkey,TUR
Metabolic Disease laboratory; Sheba Medical Center,-,2,2,1,"Apr 07, 2018",506572,Israel,ISR
Clinical Laboratory Sciences; Imam Abdulrahman Bin Faisal University,Assertion criteria,2,2,2,"Apr 16, 2020",507424,Saudi Arabia,SAU
Genetics; Children's Hospital New Orleans,Assertion criteria,2,2,2,"Jul 29, 2019",507124,United States,USA
Molecular Genetics Laboratory; CHU Lille,-,2,2,2,"Feb 12, 2020",507454,France,FRA
OSU Cancer Genomics Laboratory; Ohio State University Medical Center,-,2,2,1,"Jun 24, 2019",507014,United States,USA
Molecular Haematology Laboratory; NSW Health Pathology,Assertion criteria,2,2,1,"Jan 29, 2020",507018,Australia,AUS
Department of Neurology; Hospital Garcia de Orta,-,2,2,2,"Jan 31, 2019",506841,Portugal,PRT
Department of Pediatrics; University of Ottawa,-,2,2,1,"Apr 08, 2019",506860,Canada,CAN
Molecular Pathology Diagnostics Labratory; University of Iowa Hospitals & Clinics,-,2,2,264,"Feb 08, 2019",506810,United States,USA
Laboratory of Biochemistry; Caen University Hospital,Assertion criteria,2,2,1,"Nov 02, 2018",506753,France,FRA
Institute of Clinical Molecular Biology; Kiel University,-,2,2,2,"Nov 06, 2018",506779,Germany,DEU
NYU Undiagnosed Diseases Program; NYU School of Medicine,Assertion criteria,2,2,2,"Mar 18, 2020",507443,United States,USA
"Department of Periodontology; Nanjing Stomatological Hospital, Medical School of Nanjing University",-,2,2,2,"Jul 22, 2020",507563,China,CHN
Geng Laboratory; The Second Hospital Affiliated to Xi’an Jiaotong University,Assertion criteria,2,2,1,"May 04, 2020",507507,China,CHN
"Department of Medical Genetics and Molecular Biology; School of Medicine, Iran University of Medical Sciences",Assertion criteria,2,2,1,"Feb 18, 2020",505320,"Iran, Islamic Republic of",IRN
Laboratory of Molecular Biology and Genetics; St Antoine Hospital - APHP,-,2,2,1,"Jun 09, 2020",506089,France,FRA
FRIGE's Institute of Human Genetics,Assertion criteria,2,2,2,"Dec 01, 2015",505561,India,IND
Department of Clinical Genetics; Tartu University Hospital,Assertion criteria,2,2,74,"Apr 29, 2019",505582,Estonia,EST
Metabolic Research Unit; Children's University Hospital Muenster,Assertion criteria,2,2,1,"Nov 04, 2015",505583,Germany,DEU
Medical Genetics Section; University of Rome Tor Vergata,-,2,2,1,"Aug 31, 2016",505888,Italy,ITA
American University of Beirut; Same Uiversity Hospital,-,2,2,1,"Aug 11, 2016",505948,Lebanon,LBN
Molecular Neurogenomics lab; VIB Department of Molecular Genetics; University of Antwerp,Assertion criteria,2,2,1,"Nov 18, 2014",505302,United States,USA
idemuth; Charité - Universiätsmedizin Berlin,-,2,0,1,"Nov 20, 2014",505278,Germany,DEU
DNA Repair Laboratory; Institute of Biomedical Sciences - University of São Paulo,Assertion criteria,2,2,1,"Feb 18, 2016",500218,Brazil,BRA
Division of Nephrology; Beth Israel Deaconess Medical Center,-,2,2,1,"Jun 12, 2019",507049,United States,USA
"Laboratory of Genetics, AOUP; Azienda Ospedaliera Universitaria Pisana",-,2,2,158,"Aug 22, 2017",505683,Italy,ITA
Genomic Medicine Lab; University of Southampton,-,2,2,1,"Feb 25, 2015",505638,United Kingdom,GBR
Mayo Clinic Health System - Franciscan Health care; Mayo Clinic Health System,-,2,2,2,"Oct 17, 2014",505471,United States,USA
Laboratory of Jean-Laurent Casanova; The Rockefeller University,-,2,2,1,"Apr 25, 2017",506187,United States,USA
Center for Personalized Medicine; Roswell Park Cancer Institute,-,2,2,2,"Jul 16, 2015",505498,United States,USA
Biochimie-Hormonologie; Robert Debre Hospital,-,2,2,1,"Dec 21, 2016",506038,France,FRA
Human Genetics Research Centre; St George's University of London,-,2,2,2,"May 19, 2017",500222,United Kingdom,GBR
